landscape;design;visit;observer;npoint;countWc;countYh;countYW;countLi;countBS;countTS;countRo;countSt;countSk;countCu;countWe;countRbS;countLa;countGW;countMP;Farml.area;LHI;Prop.ext.;Ext.qual.;Cropdiv.;Prop.spr-sown
Lsc_1;Flower;1;MS;16;1;1;5;8;7;25;2;0;40;0;0;0;8;7;2;278,4826764;-1,09159141;0,062941521;0,888556068;4,467176314;0,26005931
Lsc_1;Flower;2;YH;16;0;0;0;2;0;16;6;0;27;0;0;0;4;5;0;278,4826764;-1,09159141;0,062941521;0,888556068;4,467176314;0,26005931
Lsc_2;Ley;1;YH;16;0;0;4;2;13;20;1;8;32;0;0;0;0;5;1;281,571076;-0,80625838;0,241460137;0,361853811;4,799280865;0,625830176
Lsc_2;Ley;2;PO;16;1;0;2;3;8;15;0;8;11;1;1;0;5;6;3;281,571076;-0,80625838;0,241460137;0,361853811;4,799280865;0,625830176
Lsc_3;Ley;1;YH;16;0;4;0;0;12;18;24;8;12;0;0;2;0;10;0;248,4925914;1,765777422;0,376678116;0,266289644;4,987755278;0,395090975
Lsc_3;Ley;2;JD;16;0;6;0;3;23;17;11;5;16;0;0;0;0;13;0;248,4925914;1,765777422;0,376678116;0,266289644;4,987755278;0,395090975
Lsc_4;Ley;1;JD;14;0;4;0;1;11;3;0;12;14;0;0;0;0;10;0;166,282606;1,146142909;0,499374119;0,265870401;3,272300601;0,570381531
Lsc_4;Ley;2;PO;14;1;1;0;0;12;7;0;26;10;0;0;0;0;6;0;166,282606;1,146142909;0,499374119;0,265870401;3,272300601;0,570381531
Lsc_5;Ley;1;MO;16;1;5;0;2;10;2;20;10;13;0;0;1;7;16;1;252,2779284;0,718513069;0,517608919;0,352372252;4,059384763;0,524897568
Lsc_5;Ley;2;MS;16;1;8;1;4;22;20;21;38;32;0;0;0;1;14;0;252,2779284;0,718513069;0,517608919;0,352372252;4,059384763;0,524897568
Lsc_6;Ley;1;YH;13;0;3;2;1;2;3;0;5;5;0;0;0;1;9;0;171,4564181;1,317822116;0,118895749;0,998761188;4,595032006;0,233368322
